"objectid","oberflur_nummer","art_txt","subart_txt","verlegejahr","eigentuemer_txt","geometry"
"98","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682881.2 1252972)"
"99","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682828.5 1253005.9)"
"100","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2682839.2 1253009.5)"
"101","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2683006.2 1252997.8)"
"102","","Unterflurhydrant","Zweiarmig","1992","öffentlich","POINT (2682980.8 1253056.9)"
"103","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2682985 1253115.6)"
"104","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682958.8 1253176.4)"
"105","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682937.5 1253225.8)"
"106","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682896 1253255.8)"
"107","","Unterflurhydrant","Zweiarmig","1962","öffentlich","POINT (2682947.2 1253287)"
"108","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682869.8 1253230.4)"
"109","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682818.2 1253198.8)"
"110","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682760.5 1253174.4)"
"111","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2682747.5 1253235.9)"
"112","1891","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2683699.8 1251781)"
"113","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2682861.2 1253638.1)"
"114","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2682916 1252604.1)"
"115","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682766.8 1252672.6)"
"116","","Unterflurhydrant","Zweiarmig","1963","öffentlich","POINT (2682797.8 1252619.5)"
"117","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682763 1252720)"
"118","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682816.8 1252754.8)"
"119","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682859.5 1252796.9)"
"120","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682906.8 1252842.2)"
"121","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2682985.8 1252846.5)"
"122","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2682953.5 1252917.8)"
"123","1879","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2683458.5 1253796.4)"
"124","1979","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2683528 1253772.8)"
"125","","Unterflurhydrant","Zweiarmig","1967","öffentlich","POINT (2682935.2 1253975.6)"
"126","1925","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2682876.8 1253843)"
"127","1989","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2686128.8 1250895.1)"
"128","1805","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2681798 1253211)"
"129","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2681293.2 1253600.4)"
"130","","Unterflurhydrant","Zweiarmig","1965","öffentlich","POINT (2681430 1253705)"
"131","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2681356 1253708.2)"
"132","1914","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2681440.8 1253119.5)"
"133","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681371 1253109.6)"
"134","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2682038.8 1252761.1)"
"135","1834","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2682046.8 1252693.4)"
"136","","Unterflurhydrant","Zweiarmig","1977","öffentlich","POINT (2685394.2 1251725.6)"
"137","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2686964.2 1250885.2)"
"138","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2682356 1252179.2)"
"139","","Unterflurhydrant","Zweiarmig","1912","öffentlich","POINT (2682422 1252169.8)"
"140","1760","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2685216.5 1251646.2)"
"141","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2682249.8 1252338.6)"
"142","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2682195.8 1252233.6)"
"143","","Unterflurhydrant","Zweiarmig","1937","öffentlich","POINT (2682181 1252190.1)"
"144","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2685142.2 1251415.9)"
"145","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2681298.5 1252236.4)"
"146","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2681403 1252178.8)"
"147","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681455.8 1252143.4)"
"148","","Unterflurhydrant","Zweiarmig","1977","öffentlich","POINT (2683596.5 1251861.9)"
"149","","Unterflurhydrant","Zweiarmig","1957","öffentlich","POINT (2684320.5 1253370)"
"150","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2684242.5 1253490.5)"
"151","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2684109.8 1253431.9)"
"152","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2684134 1253477.5)"
"153","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2684203 1253501.5)"
"154","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2684033 1253541.8)"
"155","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681222.5 1252143.1)"
"156","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681286 1252135.4)"
"157","1780","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2681967.2 1251595.1)"
"158","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2681767.8 1251670.5)"
"159","1781","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2682287.2 1251522.2)"
"160","2755","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2682342.8 1251654.6)"
"161","1767","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682222.2 1251586.2)"
"162","","Unterflurhydrant","Zweiarmig","1942","öffentlich","POINT (2682897.8 1252538)"
"163","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2682170.2 1251570.8)"
"164","1847","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2682172.8 1251614.1)"
"165","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2682940.8 1251905)"
"166","1912","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2682940.5 1251828.2)"
"167","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2681470.2 1251790.2)"
"168","","Unterflurhydrant","Zweiarmig","1940","öffentlich","POINT (2681371.2 1251918.1)"
"169","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2681336.5 1251889.9)"
"170","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2681288.8 1251921.4)"
"171","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2681236.5 1251962.1)"
"172","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2682962.8 1251719.1)"
"173","","Unterflurhydrant","Zweiarmig","1938","öffentlich","POINT (2682907.8 1251637.9)"
"174","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2682841.8 1251649.9)"
"175","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2682980.2 1251624.9)"
"176","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2682965.5 1251562.8)"
"177","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2682883.2 1251412.1)"
"178","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2682819.2 1251436.5)"
"179","","Unterflurhydrant","Zweiarmig","1946","öffentlich","POINT (2681824.5 1251843.2)"
"180","","Unterflurhydrant","Zweiarmig","1946","öffentlich","POINT (2681796.5 1251888.9)"
"181","","Unterflurhydrant","Zweiarmig","1964","öffentlich","POINT (2681579.5 1252102)"
"182","","Unterflurhydrant","Zweiarmig","1957","öffentlich","POINT (2681714 1252062.2)"
"183","","Unterflurhydrant","Zweiarmig","1957","öffentlich","POINT (2681757.2 1252025.4)"
"184","1784","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2681633.2 1251737)"
"185","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2683258.2 1252061.2)"
"186","1995","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2683091.8 1252005.8)"
"187","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2680961.5 1253183.5)"
"188","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2680941.2 1252995.5)"
"189","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2681006 1252967.5)"
"190","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2681053.5 1252933)"
"191","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2683406 1251567.5)"
"192","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681168.2 1252177.8)"
"193","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2683336.5 1251550)"
"194","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2683363.2 1251526.9)"
"195","1756","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683527 1251606.6)"
"196","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680957.8 1252159.1)"
"197","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681013.2 1252260.8)"
"198","","Unterflurhydrant","Zweiarmig","1967","öffentlich","POINT (2681066.8 1252225.8)"
"199","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680951.5 1252432.6)"
"200","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681192.8 1252340.4)"
"201","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681147.8 1252382)"
"202","","Unterflurhydrant","Zweiarmig","1955","öffentlich","POINT (2681113 1252424.4)"
"203","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2681061.5 1252464.4)"
"204","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2681015.5 1252505.9)"
"205","1944","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2681871.2 1251756.6)"
"206","1862","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2681860 1251812.4)"
"207","1775","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2681920.2 1251844.2)"
"208","1776","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2681870.8 1251872.5)"
"209","1770","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2682109.8 1251822.1)"
"210","","Unterflurhydrant","Zweiarmig","1957","öffentlich","POINT (2681861.8 1251992.6)"
"211","","Unterflurhydrant","Zweiarmig","1950","öffentlich","POINT (2681975.2 1252023.1)"
"212","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2681932.2 1251948)"
"213","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2681969.5 1251901.6)"
"214","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2682020.5 1251872.1)"
"215","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2686283 1251467.6)"
"216","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680769.8 1252704)"
"217","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680731.8 1252663.2)"
"218","2758","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2680666.8 1252574.2)"
"219","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2680621.2 1252589.8)"
"220","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2680673 1252528)"
"221","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2680808 1252689.2)"
"222","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2680854 1252628)"
"223","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2680903.2 1252582)"
"224","1959","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2683612.2 1252162.2)"
"225","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2680865.8 1252667.8)"
"226","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2680885.8 1252691.4)"
"227","","Unterflurhydrant","Zweiarmig","1970","öffentlich","POINT (2680722 1252619.9)"
"228","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2680793.2 1252564.2)"
"229","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2680862.2 1252893.4)"
"230","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681324.2 1252107)"
"231","","Unterflurhydrant","Zweiarmig","1954","öffentlich","POINT (2681387.5 1252099.1)"
"232","1877","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2686154.5 1251422.5)"
"233","","Unterflurhydrant","Zweiarmig","1986","öffentlich","POINT (2680041.8 1252945)"
"234","","Unterflurhydrant","Zweiarmig","1963","öffentlich","POINT (2680091 1252922.2)"
"235","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2683112.8 1251490)"
"236","1815","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682078.2 1251700.4)"
"237","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2683154.8 1251536.6)"
"238","1797","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682010.8 1251800)"
"239","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2683564 1252042.4)"
"240","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2680912.5 1252191.9)"
"241","1859","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2680882.5 1252248.9)"
"242","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2680842.8 1252296.1)"
"243","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2680789.2 1252342.1)"
"244","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2680756.5 1252376.6)"
"245","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2683458.5 1252035.6)"
"246","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2680674.2 1252221.9)"
"247","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2680734.5 1252163.2)"
"248","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2678824.8 1250838.8)"
"249","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678659.5 1251002.6)"
"250","1821","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2683571 1251742.2)"
"251","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678777.2 1250988.8)"
"252","1757","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683608.2 1251620)"
"253","1785","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683606.2 1251676.9)"
"254","1786","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2683627 1251720.6)"
"255","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2678679.8 1251174.5)"
"256","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2678651.5 1251200.2)"
